3;2813;14277;4869;8377;2016
5;11337;6631;7588;9565;7166
6;10860;13981;13610;3758;15450
8;12293;14198;2372;6134;17189
16;408;58;122;11937;1902
17;15110;10625;16242;14712;10123
18;16605;17431;2554;11544;7233
24;15631;14463;7831;17014;7615
25;6486;7914;2405;7239;1756
26;5243;14738;2617;6844;4753
28;10359;17169;14574;13728;9591
30;16242;10042;16452;12966;16954
32;14367;17405;15062;10612;13462
33;5448;5318;4109;8596;5862
44;2866;7716;16992;11277;2577
45;9685;2800;12172;7631;17027
46;16377;4698;13195;15124;7989
47;1959;15814;13149;9902;1547
48;6510;5939;8107;12155;17302
52;12411;16734;17111;4752;482
55;14513;9511;15956;11047;2528
56;4628;15930;8637;5528;1632
57;17341;7691;17756;8370;17435
58;11443;7399;14889;6510;6274
68;10947;12028;187;7661;5472
71;2578;12084;15758;12232;17661
76;12545;15900;3020;7780;5837
77;3350;15124;10274;1027;6196
78;5094;4876;5434;6482;6268
79;8159;12578;12867;5287;241
81;6196;9051;14550;9189;7586
83;6287;14382;17709;571;16415
84;7555;2346;16062;16052;1983
97;14732;16703;9479;15029;11994
104;12639;3955;13378;10084;12931
108;10607;9960;10583;17169;7509
110;3095;11472;5947;5287;6988
111;9592;5327;6037;10275;3106
113;15853;3777;3835;4141;1066
116;2813;1926;13569;977;4049
118;4341;3650;14718;15818;10820
122;7987;9442;10835;6193;1104
125;10274;5928;5894;4678;16263
126;6648;11323;13897;9442;13908
127;4740;3942;11171;13056;11909
133;10275;5884;16203;3903;7544
138;15183;14801;15246;3925;12918
143;14928;9111;9882;16879;6797
148;15393;11013;12470;6552;6302
152;6961;14574;6362;3938;11183
156;424;13107;8782;11846;10605
165;16721;7173;7713;2851;17339
166;9728;1542;15057;12305;6386
167;5181;4345;13103;11630;3320
168;10176;5033;2104;17070;9565
171;241;7239;2000;4284;14602
173;17472;3954;11435;6229;2900
175;7281;12918;5571;4432;1180
178;10085;8877;1926;11590;5194
180;5732;8354;11152;457;15450
181;6060;5730;17207;12359;1073
185;3736;9724;1558;3113;17415
187;10583;10928;13439;15394;14960
188;9027;3385;12678;12181;7331
189;5084;5571;14050;6133;9265
191;14109;7193;14149;6287;7509
197;2782;2617;11521;2699;5345
199;14928;16668;1102;14312;12600
201;5515;5862;9681;7750;14042
206;311;16740;15758;2465;15496
208;7985;3715;17004;3840;8175
209;5222;9886;12785;16325;12675
213;15715;6872;9878;17031;12096
215;16707;13614;5401;7521;17397
216;468;11401;10379;10625;5496
223;13728;17508;17560;4877;9628
224;8191;1658;7644;11369;6083
225;12799;13524;17324;5496;8981
227;2950;3587;5888;14883;1224
232;7980;5906;11639;6599;14212
238;5075;2348;8039;10832;16325
239;9120;9160;3266;2228;4100
240;8908;2735;1959;16634;1969
241;4633;14056;16384;3282;17157
242;14661;9296;12028;12690;724
248;5924;1770;2578;12102;1719
251;15717;1756;3163;7577;16895
252;985;14312;5628;6347;11254
253;11904;12246;11573;8199;13302
255;15444;5967;7048;5672;12430
256;14342;4339;996;4488;329
257;658;7233;2452;3860;9617
262;1174;7004;11114;3079;16931
267;13182;9445;13588;10880;13806
268;12843;6274;12904;7257;3835
269;13195;11089;14574;9188;1144
270;5614;11521;2938;14454;3860
273;9340;13524;2457;15471;13675
275;3624;1884;13927;1428;12672
281;14454;191;4007;9725;4678
283;6329;15715;6240;2660;4586
285;6037;4545;12299;8376;17157
288;5837;1256;295;15578;5103
289;16788;985;15336;17589;17762
290;2112;3282;11089;2342;6797
295;9960;10212;3925;1406;329
297;15409;17031;10042;2771;11337
299;12155;16954;1703;14953;17482
304;6911;5472;8563;14725;7032
305;6961;12501;5607;5033;15582
311;11398;2554;457;3151;3290
312;4656;15084;1754;12870;2470
313;6859;8387;5496;14103;4330
316;7635;6251;5471;8764;6833
325;11911;17154;11172;13082;15997
329;5226;2095;4640;9628;10583
330;1202;11047;3860;5054;6552
331;15233;2178;6206;12785;9051
334;16262;758;3138;3239;16922
337;10083;5845;4816;5899;4103
338;1882;11125;6804;12124;15716
341;9109;12171;7588;6890;5253
342;4418;5299;15400;9487;15800
344;10255;4506;8605;16840;8168
345;14801;12675;12450;191;14192
348;7308;3489;9598;16969;1770
350;4575;3414;13702;6011;15568
353;4951;12497;4432;3320;16465
356;15410;13420;17189;2762;8966
357;17149;9728;14410;5317;8596
358;3544;10951;7942;13389;9228
359;1144;5591;10918;6070;8619
360;9049;8880;10522;15497;12073
361;4330;10042;16406;7331;2580
362;17625;3814;6552;2284;12115
363;15345;2617;11663;1509;15774
367;1700;7635;14144;6099;12582
368;1783;6016;13748;9201;1664
371;15033;7751;13579;2529;12693
375;9326;13087;5296;1581;4049
378;2862;8079;6416;5226;375
381;1798;6687;14367;3638;5997
384;5946;9005;11192;2252;8325
385;14047;16380;12430;14606;2254
386;3047;7545;269;6004;2212
390;8981;15471;4883;7590;11663
393;2174;12435;330;15952;5939
394;1912;1163;17525;3084;14434
395;12875;14023;17468;10560;3403
398;8399;15066;12232;482;900
400;14056;11467;11688;15949;13602
401;13015;9683;15597;629;11090
405;2443;17071;2465;4496;7786
406;2186;13728;9111;14538;4315
408;16281;16445;2348;15237;2475
410;5360;4478;13451;17431;3282
413;5788;6099;4778;4080;16452
414;6114;433;12301;13211;17259
416;8327;4881;1770;15736;720
417;4595;1066;11236;2981;5299
418;9471;13555;11077;4389;14545
420;7544;4393;2095;12605;11398
422;15921;10895;17441;14056;1959
424;11022;1466;7757;6796;5237
425;13887;16596;7230;16954;12513
426;11884;16912;11651;6188;17321
427;14080;11661;6665;12986;7566
429;7899;4709;723;16628;15481
430;6571;16393;2532;9296;14745
431;14240;9076;14482;14691;9525
432;15163;13629;7368;17526;10426
433;6266;7828;6016;6760;3135
436;17113;15582;2890;14364;2868
438;15182;12580;9800;8049;6961
442;14312;6196;15702;5922;14691
443;312;16644;11521;30;13082
445;6408;13384;6974;13128;17441
451;9347;10598;8224;4919;14670
452;9364;17506;2874;16082;6994
454;12335;8173;822;7629;14468
456;10203;2735;12365;10143;4227
457;14961;14725;6972;12084;14999
459;5762;788;12773;16150;9095
